Voter,Barry Bonds,Roger Clemens,Johnny Damon,Vlad Guerrero,Trevor Hoffman,Andruw Jones,Chipper Jones,Jeff Kent,Edgar Martinez,Fred McGriff,Mike Mussina,Manny Ramirez,Scott Rolen,Johan Santana,Curt Schilling,Gary Sheffield,Sammy Sosa,Jim Thome,Omar Vizquel,Billy Wagner,Larry Walker
Peter Abraham,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
Dave Albee,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Jim Alexander,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
David Ammenheuser,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Dom Amore,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Anthony Andro,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Mel Antonen,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
Kirby Arnold,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
Jaime Aron,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Chris Assenheimer,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Andrew Baggarly,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Chris Bahr,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Bill Ballou,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peter Barzilai,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
Mike Bass,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Amalie Benjamin,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
Mike Berardino,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1
Rob Biertempfel,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Jeff Blair,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Barry Bloom,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
Earl Bloom,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
Erik Boland,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
Filip Bondy,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
Tim Booth,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
David Borges,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Peter Botte,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1
Mark Bradley,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1
Marcos Breton,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0
Larry Brooks,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
Garry Brown,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0
Steve Buckley,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Don Burke,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
Nick Cafardo,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0
Pete Caldera,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
Andrew Call,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Dave Campbell,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Jim Caple,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1
Pat Caputo,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
Sam Carchidi (didn't vote last yr),0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
Marc Carig,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0
Bill Center,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
Murray Chass (2017 blank ballot),0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Jay Cohen,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
Roberto Colon,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
Dan Connolly,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
Kevin Cooney,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Brian Costello,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0
Greg Cote,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Tim Cowlishaw,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1
Jerry Crasnick,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Jack Curry,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1
Tom D'Angelo,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1
Paul Daugherty,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shi Davidi,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Ken Davidoff,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
Art Davidson,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
John Delcos,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
Chris De Luca,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0
Tony DeMarco,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
Tom Dienhart,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
Ryan Divish,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Mike Downey,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Josh Dubow,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1
Jay Dunn,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
Jorge Ebro,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
John Erardi,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1
Ryan Fagan,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1
Mark Faller,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1
Mark Feinsand,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0
Martin Fennelly,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1
Jeffrey Flanagan,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Jeff Fletcher,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1
Carlos Frias,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
Carter Gaddis,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Peter Gammons,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
Dan Gelston,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Steven Gietschier,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
Rob Gillies,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
David Ginsburg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Steve Goldman (didn't vote last yr),0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0
Jimmy Golen,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Pedro Gomez,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
Mark Gonzales,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
Derrick Goold,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
Patrick Graham,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Evan Grant,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Dan Graziano,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Jay Greenberg,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
Alan Greenwood,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Scot Gregor,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
Richard Griffin,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
Karen Guregian,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
Paul Gutierrez,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Joe Haakenson,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
Chris Haft,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
Paul Hagen,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1
Mark Hale,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1
John Harper,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0
Mike Harrington,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1
Ian Harrison,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1
Tom Haudricourt,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
Dan Hayes,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Joe Henderson,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Lynn Henning,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Steve Henson,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
Mark Herrmann,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Bob Herzog,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
Jon Heyman,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
Bob Hohler,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Garry D. Howard,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0
Mike Imrem,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0
Jeff Jacobs,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Bruce Jenkins,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0
Chuck Johnson,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Joey Johnston,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
Richard Justice,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
Marc Katz,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Tim Kawakami,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Kevin Kernan,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1
Ann Killion,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
George A. King III,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0
Bob Klapisch,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Michael Knisley,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Dejan Kovacevic,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Ron Kroichick,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
Roch Kubatko,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
Tim Kurkjian,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
Gabe Lacques,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
Marc Lancaster,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
Scott Lauber,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
Sadiel Lebron,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0
David Lennon,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Joseph Liao,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0
Bernie Lincicome,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Bill Livingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Thom Loverro,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1
Rob Maaddi,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
Dennis Maffezzoli,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
Jack Magruder,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Dennis Manoloff,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1
Steven Marcus,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
David Maril,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0
Tony Massarotti,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sean McAdam,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Jack McCaffery,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
Anthony McCarron,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
Janie McCauley,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1
Joe McDonald,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
John McGrath,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1
Sam Mellinger,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1
Bruce Miles,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
Phil Miller,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
Randy Miller,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Scott Miller,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0
Kevin Modesti,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
